fsa,name_/_area,nearest_airport_city,co2e_cdg_kg,co2e_lhr_kg,co2e_nrt_kg,co2e_set1_kg,co2e_set2_kg,cad1_cdg,cad1_lhr,cad1_nrt,cad1_set1,cad1_set2,cad2_cdg,cad2_lhr,cad2_nrt,cad2_set1,cad2_set2,cad3_cdg,cad3_lhr,cad3_nrt,cad3_set1,cad3_set2
T6A,Edmonton (North Capilano),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6B,Edmonton (SE Capilano / West Southeast Industrial / East Bonnie Doon),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6C,Edmonton (Central Bonnie Doon),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6E,Edmonton (South Bonnie Doon / East University),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6G,Edmonton (West University / Strathcona Place),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6H,Edmonton (Southgate / North Riverbend),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6J,Edmonton (Kaskitayo),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6K,Edmonton (West Mill Woods),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6L,Edmonton (East Mill Woods),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6M,Edmonton Southwest,Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6N,Edmonton (South Industrial),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6P,Edmonton (East Southeast Industrial / South Clover Bar),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6R,Edmonton (Riverbend),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6S,Edmonton (North Clover Bar),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
T6T,Edmonton (Meadows),Edmonton,1585.0,1424.0,1586.8,581.7,632.3,47.0,42.0,47.0,17.0,19.0,420.0,380.0,420.0,150.0,170.0,1700.0,1500.0,1700.0,620.0,670.0
